model,family,sizing,n,mean_bp,sd_bp,t_stat,annualized_return,annualized_sd,annualized_sharpe,hit_rate,cum_return,max_drawdown,avg_abs_position,max_abs_position,long_share
glmnet_ridge,glmnet,zscore_1x,12772,0,0,,0,0,,0,0,0,0,0,0
glmnet_lasso,glmnet,zscore_1x,12772,0,0,,0,0,,0,0,0,0,0,0
glmnet_elastic_net,glmnet,zscore_1x,12772,0,0,,0,0,,0,0,0,0,0,0
logit_ridge_direction,classification,zscore_1x,12772,0,0,,0,0,,0,0,0,0,0,0
logit_elastic_direction,classification,zscore_1x,12772,0,0,,0,0,,0,0,0,0,0,0
xgboost_shallow,boosting,sign,12772,0.84166,34.008654,2.796899,0.125835,0.132241,0.951562,0.50642,1.721527,0.206319,1,1,0.486376
gam_smooths,gam,sign,12772,0.795401,34.009767,2.64309,0.117987,0.132245,0.892184,0.508378,1.565368,0.133723,1,1,0.500391
rpart_tree,tree_rule,sign,12772,0.773382,34.010275,2.569883,0.114281,0.132247,0.864149,0.504776,1.494418,0.199721,1,1,0.500235
lm_minmax,linear,sign,12772,0.697514,34.011916,2.317667,0.101569,0.132253,0.767985,0.507751,1.263996,0.163223,1,1,0.524115
nnet_size3_decay,neural_net,sign,12772,0.694095,34.011986,2.306302,0.100999,0.132254,0.763679,0.507673,1.254132,0.167071,1,1,0.521845
rule_count_imbalance,rule,sign,12772,0.680722,34.012256,2.261849,0.098756,0.132255,0.746709,0.513467,1.215624,0.171708,1,1,0.54228
lm_pairwise_interactions,linear,zscore_1x,12772,0.44349,22.92938,2.185855,0.065127,0.08916,0.730457,0.499687,0.703974,0.102204,0.40945,1,0.412621
rpart_tree,tree_rule,zscore_1x,12772,0.407517,21.728929,2.119517,0.059773,0.084492,0.707446,0.504776,0.632963,0.190935,0.463877,1,0.500235
weighted_lm_3y_halflife,linear_weighted,zscore_1x,12772,0.512176,27.22318,2.126228,0.074499,0.105856,0.703774,0.50783,0.834842,0.152201,0.577366,1,0.536721
lm_minmax_plus_hour,linear,sign,12772,0.609273,34.013611,2.024365,0.08697,0.13226,0.657569,0.502036,1.022708,0.214434,1,1,0.520749
xgboost_shallow,boosting,zscore_1x,12772,0.392793,22.49683,1.973205,0.057145,0.087478,0.65325,0.50642,0.599064,0.225039,0.396954,1,0.486376
lm_pairwise_interactions,linear,sign,12772,0.6038,34.013709,2.006173,0.086063,0.13226,0.650706,0.499687,1.008489,0.229337,1,1,0.412621
lm_minmax_plus_hour,linear,zscore_1x,12772,0.441401,25.937858,1.923218,0.063614,0.100858,0.630725,0.502036,0.683628,0.180541,0.510833,1,0.520749
ranger_regression,tree_ml,zscore_1x,12772,0.362648,21.520235,1.904444,0.052681,0.08368,0.629548,0.500861,0.542915,0.232171,0.405864,1,0.502349
lm_minmax,linear,zscore_1x,12772,0.445589,26.826205,1.877176,0.063908,0.104312,0.612657,0.507751,0.687563,0.144787,0.556986,1,0.524115
weighted_lm_3y_halflife,linear_weighted,sign,12772,0.570897,34.014277,1.896818,0.080678,0.132263,0.609982,0.50783,0.925907,0.176227,1,1,0.536721
rule_count_imbalance,rule,zscore_1x,12772,0.466181,28.101731,1.874784,0.066643,0.109272,0.609878,0.513467,0.72456,0.159002,0.641847,1,0.54228
nnet_size3_decay,neural_net,zscore_1x,12772,0.441047,26.8305,1.857741,0.063175,0.104329,0.60554,0.507673,0.677775,0.144467,0.556555,1,0.521845
xgboost_linear,boosting_linear,zscore_1x,12772,0.392535,26.32225,1.68533,0.055621,0.102353,0.543426,0.502662,0.5797,0.145832,0.526287,1,0.485985
gam_smooths,gam,zscore_1x,12772,0.255384,18.181717,1.587407,0.036779,0.070699,0.520222,0.508378,0.356759,0.099081,0.294922,1,0.500391
ranger_regression,tree_ml,sign,12772,0.471931,34.015794,1.567932,0.064607,0.132269,0.488455,0.500861,0.69696,0.277516,1,1,0.502349
