symbol,mean_dollar_volume,obs
nvda,34904467869.5799,252
tsla,20653182115.1896,252
aapl,10368669542.2301,252
amd,8157222454.45792,252
amzn,6764942554.15657,252
meta,6632342323.38389,252
smci,4900724989.83554,252
avgo,4237065705.67647,252
brk.a,4049559394.16861,252
googl,3943050725.22312,252
mstr,3488835412.33456,252
goog,2869089631.95817,252
lly,2279880405.75572,252
coin,2254503196.73837,252
tsm,2243917981.61135,252
mu,2138083310.58046,252
nflx,2136085453.29591,252
pltr,2025067809.6623,252
unh,1972295995.49433,252
v,1696464220.45056,252
jpm,1657676959.76262,252
crm,1619318559.28857,252
intc,1607932465.23198,252
ba,1552751225.86075,252
adbe,1543015661.42667,252
xom,1485584745.86542,252
cost,1420525775.56167,252
qcom,1374786611.3479,252
crwd,1373861402.2477,252
bac,1373520698.88472,252
baba,1295621663.91075,252
uber,1255174368.60889,252
brk.b,1212172326.50321,252
pdd,1177611255.00034,252
arm,1169049035.80696,252
hd,1130988421.52397,252
asml,1124765435.57077,252
mara,1110336950.31331,251
dell,1103745035.6494,252
amat,1081492890.45097,252
wmt,1073475329.37619,252
ma,1065166291.09956,252
orcl,1055074918.9177,252
jnj,998019682.698611,252
cvx,987999011.800575,252
now,987456846.114802,252
wfc,966806042.908849,252
panw,962593578.500179,252
pg,957103936.533214,252
gs,950300589.751032,252
mrk,932219343.736587,252
txn,931050611.722739,252
snow,930805045.603254,252
pfe,927945362.26623,252
dis,914515029.344802,252
nke,911391512.167063,252
mcd,895881011.630833,252
mrvl,887067598.762321,252
bkng,878963173.874921,252
ge,876245243.17258,252
lrcx,868552425.914642,252
sbux,858674645.525695,252
abbv,853674713.675595,252
acn,851211197.726548,252
csco,848437966.198651,252
pep,837446867.35611,252
tmo,826004927.320754,252
cat,825958083.448134,252
ko,800715608.884326,252
c,795162322.944802,252
intu,791782159.906587,252
pypl,791018260.602123,252
ibm,764257602.864484,252
tmus,743851860.890893,252
amgn,717904599.056031,252
cmcsa,708394175.008889,252
nee,706057287.118174,252
vz,690833857.394087,252
cmg,684286571.727222,252
dhr,669631013.305754,252
lulu,664653969.200654,252
vrt,663623132.571389,252
shop,661826766.210674,252
gev,655438190.669974,193
ms,653698951.95127,252
cvs,649821574.238135,252
spot,646492913.874207,252
cop,644642746.655436,252
axp,640902050.473056,252
adi,629334071.815952,252
tgt,624501775.864485,252
bmy,621903270.843095,252
klac,621676577.55369,252
etn,615883894.338611,252
meli,613942664.754802,252
gm,611075526.826587,252
rtx,598083970.455913,252
abnb,582237088.945238,252
f,580762407.912599,252
isrg,578789512.725654,252
wday,570117155.218909,252
vst,568987845.813532,252
hum,568774302.218571,252
anet,567934917.529425,252
t,567687751.28633,252
elv,566404878.652579,252
djt,564643122.412784,194
ceg,561624473.042579,252
abt,560514539.867698,252
xyz,550910100.114226,252
low,550477680.353016,252
snps,545409746.739048,252
pm,540785486.287301,252
fcx,534831531.048215,252
de,533671846.8725,252
unp,531308431.988809,252
lin,530487861.004147,252
nvo,528194263.708095,252
ups,528121518.690992,252
schw,524472474.124484,252
vrtx,522924170.671349,252
oxy,518232997.136588,252
tjx,517722565.622857,252
app,513960204.439682,252
spgi,509725334.517103,252
shw,508753360.753691,252
lmt,508536731.67746,252
pgr,507195134.7125,252
nxpi,504986323.809365,252
ci,503127409.348135,252
regn,501793957.183016,252
mdt,496831559.605198,252
slb,493235161.715556,252
blk,492559658.083016,252
fslr,486561349.150417,252
gild,485765099.98877,252
cvna,483260397.375476,252
mchp,480150971.125119,252
hon,477394164.163929,252
ddog,476492007.875992,252
ccl,473901858.029723,252
cdns,469424102.244147,252
rivn,469170504.874325,252
fdx,465101159.512222,252
bx,461530060.209008,252
mdb,460081097.190913,252
on,456620559.456012,252
mdlz,454674263.012817,252
amt,448353038.438571,252
mmm,443724134.565794,252
gme,439819216.065397,252
mpwr,435189694.715238,252
clsk,434628136.114601,251
kkr,432444450.237064,252
bsx,430134292.675754,252
zts,429554261.898969,252
rddt,424546120.829111,197
mpc,423131323.28631,252
mck,422874443.511151,252
syk,419408837.208889,252
dal,417904202.323333,252
pld,416796561.994603,252
chtr,412644073.593313,252
aal,411493507.704603,252
eqix,408840081.512381,252
nem,408109569.614286,252
vlo,406936480.252262,252
ual,406630380.409444,252
mo,404213509.500953,252
jd,403373507.15869,252
apd,402436171.769246,252
mrna,401316236.295417,252
sofi,400848835.482203,252
azo,400133557.63004,252
cb,398887610.221151,252
hca,396503583.007698,252
nu,395725593.45127,252
cl,392605009.012579,252
enph,392156013.002817,252
aph,389694890.634921,252
cme,384573658.289802,252
dhi,384096307.040476,252
dkng,381302180.550516,252
dash,381228536.831786,252
ulta,380957539.078314,252
orly,380511773.267619,252
csx,378197677.409762,252
adp,377919957.169425,252
noc,377689731.494762,252
zs,377368171.144524,252
eog,376124289.904246,252
tza,374848713.531547,252
uri,374000927.321825,252
apo,373896403.241508,252
adsk,372415344.987202,252
cof,369091630.935437,252
ice,366496807.260357,252
fisv,366149679.598849,252
cmi,364240458.10496,252
wdc,361241468.656965,252
ftnt,356657810.311885,252
tt,356271190.279286,252
afrm,355443062.487679,252
team,355364080.978075,252
crh,355273363.315516,252
psx,353679705.577738,252
el,351604162.139127,252
rcl,350803726.301547,252
b,350251713.308155,252
ttd,349075452.047064,252
ph,345757568.590794,252
hood,345634121.671222,252
ew,343482246.398373,252
aon,343183051.881944,252
azn,342636267.818968,252
kvue,340791876.545199,252
dg,340725445.881191,252
usb,338902717.800794,252
mrsh,338196057.395357,252
dxcm,338074802.009504,252
bdx,334887949.035754,252
so,334159961.259048,252
mar,332365030.134802,252
hsy,328948421.648968,252
len,328226183.669762,252
hubs,326557696.806548,252
se,325912150.857698,252
dvn,324072892.014246,252
bidu,323728581.821984,252
mnst,321374641.692679,252
gd,319068687.650635,252
deck,315467944.651389,252
hlt,315357812.00504,252
wm,314089921.28627,252
pins,313427249.939345,252
tfc,312415576.464325,252
rost,311153269.843552,252
cor,309804755.488413,252
fang,309772600.115873,252
soun,309705440.571048,252
jci,306949622.751111,252
duk,306008034.015754,252
dltr,305853010.970278,252
pnc,304943479.368413,252
snap,302764383.95627,252
stz,297868120.61246,252
emr,297441148.551548,252
mco,296429744.016032,252
vale,295102104.827619,252
aig,294531323.134087,252
nsc,293963908.847619,252
celh,293700789.173909,252
alb,291332634.362103,252
o,288777804.34623,252
rblx,288287217.675814,252
roku,287493274.054921,252
odfl,286483703.941667,252
cnc,285753561.722897,252
hes,284531397.614445,252
tdg,283292962.99746,252
well,282579746.33619,252
kdp,282027839.418016,252
elf,277467544.001072,252
wsm,276913584.755952,252
msci,275529103.636468,252
ebay,274555241.281627,252
nio,273354354.497157,252
cci,273351418.560397,252
trv,273242178.12623,252
kmi,272530572.688453,252
expe,271711946.059722,252
carr,271631870.31754,252
kmb,271003843.146786,252
bp,270446121.475754,252
ea,270343439.78875,252
khc,268988953.760476,252
tsco,268208782.423532,252
ajg,267592870.602659,252
wmb,265956790.573651,252
fis,265954074.417341,252
riot,265466400.291925,252
